"text","twitterUrl","tweet_id","cleaned_text","sentiment"
"🚀 Big ETH pump happening soon! ➡️ ⬅️ 🟢 Less than an hour left to join the private channel❗️ @NguynTr97318979 @hamza_malan @UserNickT @Czemni","https://twitter.com/asuka59534095/status/1805609410913615912",1608,"🚀 big eth pump happening soon ➡️ ⬅️ 🟢 less hour left join private channel❗️ nguyntr hamzamalan usernickt czemni",2
"who calls ppl on twitter😭😂 I didn’t even know could do that!","https://twitter.com/_malanrenee/status/1805606589589491946",1609," calls ppl twitter😭😂 didn’t even know ",NA
"I wanted Jada on Twitter soo bad & now I want her off cause why is she calling and making gcs on here😭😭😭","https://twitter.com/_malanrenee/status/1805606392092320037",1610," wanted jada twitter soo bad now want cause calling making gcs 😭😭😭",-2
"@Zurich13hk Ya superen. Ya pasaron años.","https://twitter.com/MALAN_10/status/1805594291840205284",1611,"zurichhk ya superen ya pasaron años",NA
"@malan_pamela That's burning real good for being 9pm.","https://twitter.com/engineco16/status/1805580698650394810",1612,"malanpamela thats burning real good pm",3
"Live from @Harvard this Thu–Fri, a @CS50 workshop via @Zoom for teachers who'd like to adopt or adapt any of CS50's OpenCourseWare for their own classes. Register for free at . #education #community","https://twitter.com/davidjmalan/status/1805579783725629518",1613,"live harvard thu–fri cs workshop via zoom teachers whod like adopt adapt css opencourseware classes register free education community",4
"교통카드는없었지만 불안이딸기우유는먹엇음 주문해놔서내일다시가면된다네여. ","https://twitter.com/malan_jabduk/status/1805574738342986202",1614,"교통카드는없었지만 불안이딸기우유는먹엇음 주문해놔서내일다시가면된다네여 ",NA
"띠요옹?!?!?!?!?!?!?!?!?! 그럼지금엉뉘가여자고핑뉘가남자라고? 어이어이어이이거뭐냐고오오!!!!!!!!!!!!!","https://twitter.com/malan_jabduk/status/1805558492813836479",1615,"띠요옹 그럼지금엉뉘가여자고핑뉘가남자라고 어이어이어이이거뭐냐고오오",NA
"찍먹한다고한게 5일만에 이렇게까지될줄이야.","https://twitter.com/malan_jabduk/status/1805557919423119450",1616,"찍먹한다고한게 일만에 이렇게까지될줄이야",NA
"@ranran_weagi 말앙저엥요 받아주시져.","https://twitter.com/malan_jabduk/status/1805541746518245890",1617,"ranranweagi 말앙저엥요 받아주시져",NA
